,Open_time,Open,High,Low,Close,Volume,quote_av,trades,tb_base_av,tb_quote_av,Symbol,range,range_shift1,target,Year,Month,Day,ror,enter_price,enter_time,exit_price,exit_time
0,2021-06-01 09:00:00,37253.82,37894.81,35666.0,36693.09,81234.66377,2973928300.375587,1760417,40291.834851,1475008291.2336473,BTCUSDT,1337.2859999999985,,,2021,6,1,,,,,
1,2021-06-02 09:00:00,36694.85,38225.0,35920.0,37568.68,67587.372495,2523462575.6884375,1530915,34328.496287,1281854474.9120827,BTCUSDT,1383.0,1337.2859999999985,38032.136,2021,6,2,0.9936141898524973,38032.136,2021-06-02 23:37:00,37789.27,2021-06-02 23:50:00
2,2021-06-03 09:00:00,37568.68,39476.0,37170.0,39246.79,75889.106011,2930945325.709207,1949658,38664.297849,1493504667.613802,BTCUSDT,1383.6,1383.0,38951.68,2021,6,3,0.9897026264335711,38951.68,2021-06-03 15:41:00,38550.58,2021-06-03 23:50:00
3,2021-06-04 09:00:00,39246.78,39289.07,35555.15,36829.0,91317.799245,3379399754.9305224,1926311,43105.97173,1595098152.9668267,BTCUSDT,2240.351999999999,1383.6,40630.38,2021,6,4,1.0,0.0,,0.0,
4,2021-06-05 09:00:00,36829.15,37925.0,34800.0,35513.2,70459.62149,2560547116.8364058,1463754,34397.77436,1249708171.2723916,BTCUSDT,1875.0,2240.351999999999,39069.502,2021,6,5,1.0,0.0,,0.0,
5,2021-06-06 09:00:00,35516.07,36480.0,35222.0,35796.31,47650.206637,1711857075.0471697,993430,23661.260636,850204250.7625557,BTCUSDT,754.8,1875.0,37391.07,2021,6,6,1.0,0.0,,0.0,
6,2021-06-07 09:00:00,35796.31,36900.0,33300.0,33552.79,77574.952573,2755673601.713914,1532260,36431.560586,1295757611.708646,BTCUSDT,2160.0,754.8,36551.11,2021,6,7,0.9836048754743699,36551.11,2021-06-07 10:46:00,35951.85,2021-06-07 23:50:00
7,2021-06-08 09:00:00,33556.96,34068.01,31000.0,33380.81,123251.189037,4030784324.609684,2074885,60095.990201,1966354847.5691981,BTCUSDT,1840.8060000000012,2160.0,35716.96,2021,6,8,0.8912958997630258,35716.96,2021-06-08 00:00:00,31834.38,2021-06-08 23:50:00
8,2021-06-09 09:00:00,33380.8,37534.79,32396.82,37388.05,136607.597517,4794741674.438823,2601479,68790.289265,2415789675.0859303,BTCUSDT,3082.7820000000006,1840.8060000000012,35221.60600000001,2021,6,9,0.9991304769010247,35221.60600000001,2021-06-09 21:02:00,35190.98,2021-06-09 23:50:00
9,2021-06-10 09:00:00,37388.05,38491.0,35782.0,36675.72,109527.284943,4062957162.3643,2231430,53639.424022,1990486079.2177145,BTCUSDT,1625.3999999999999,3082.7820000000006,40470.832,2021,6,10,1.0,0.0,,0.0,
10,2021-06-11 09:00:00,36677.83,37680.4,35936.77,37331.98,78466.0053,2903043643.310072,1727645,39406.719224,1458619433.2768435,BTCUSDT,1046.1780000000028,1625.3999999999999,38303.23,2021,6,11,1.0,0.0,,0.0,
11,2021-06-12 09:00:00,37331.98,37463.63,34600.36,35546.11,87717.54999,3132387326.5375137,1719650,42571.205313,1520432734.299909,BTCUSDT,1717.961999999998,1046.1780000000028,38378.158,2021,6,12,1.0,0.0,,0.0,
12,2021-06-13 09:00:00,35546.12,39380.0,34757.0,39020.57,86921.025555,3208991521.63768,1894103,45675.273616,1688611358.4117024,BTCUSDT,2773.7999999999997,1717.961999999998,37264.082,2021,6,13,1.0,0.0,,0.0,
13,2021-06-14 09:00:00,39020.56,41064.05,38730.0,40516.29,108522.391949,4320307646.765389,2185089,53645.908744,2135285912.6205053,BTCUSDT,1400.4300000000017,2773.7999999999997,41794.36,2021,6,14,1.0,0.0,,0.0,
14,2021-06-15 09:00:00,40516.28,41330.0,39506.4,40144.04,80679.622838,3247746713.62741,1931890,39428.829726,1587381565.815413,BTCUSDT,1094.1599999999992,1400.4300000000017,41916.71,2021,6,15,1.0,0.0,,0.0,
15,2021-06-16 09:00:00,40143.8,40527.14,38116.01,38349.01,87771.976937,3450556041.6005836,2134897,42137.242251,1657135674.8230214,BTCUSDT,1446.6779999999983,1094.1599999999992,41237.96,2021,6,16,0.9474185919963064,41237.96,2021-06-16 03:01:00,39069.61,2021-06-16 23:50:00
16,2021-06-17 09:00:00,38349.0,39559.88,37365.0,38092.97,79541.307119,3065622530.039886,1620210,37936.812673,1462729677.1158257,BTCUSDT,1316.9279999999983,1446.6779999999983,39795.678,2021,6,17,1.0,0.0,,0.0,
17,2021-06-18 09:00:00,38092.97,38202.84,35129.29,35819.84,95228.042935,3507868126.3062024,1809253,44824.436567,1651613641.3868167,BTCUSDT,1844.1299999999974,1316.9279999999983,39409.898,2021,6,18,1.0,0.0,,0.0,
18,2021-06-19 09:00:00,35820.48,36457.0,34803.52,35483.72,68712.449461,2453817534.777169,1212278,33788.293345,1207082481.7647178,BTCUSDT,992.0880000000019,1844.1299999999974,37664.61,2021,6,19,1.0,0.0,,0.0,
19,2021-06-20 09:00:00,35483.72,36137.72,33336.0,35600.16,89878.17085,3124634336.8407607,1691871,44194.067387,1537385055.4929118,BTCUSDT,1681.0320000000006,992.0880000000019,36475.808000000005,2021,6,20,1.0,0.0,,0.0,
20,2021-06-21 09:00:00,35600.17,35750.0,31251.23,31608.93,168778.873159,5545926077.788067,2688993,81297.469751,2671033140.1889787,BTCUSDT,2699.262,1681.0320000000006,37281.202,2021,6,21,1.0,0.0,,0.0,
